Speaker,Region,Phoneme,Sonority,Point of articulation,Vowel,Horizontal position,Vertical Position,Stress,Relative intensity
CA,Colombia,b,voiced,bilabial,a,central,low,stressed,6.8
CA,Colombia,b,voiced,bilabial,a,central,low,stressed,13.3
CA,Colombia,b,voiced,bilabial,a,central,low,unstressed,13.6
CA,Colombia,b,voiced,bilabial,a,central,low,unstressed,21.2
CA,Colombia,b,voiced,bilabial,e,anterior,mid,stressed,11.4
CA,Colombia,b,voiced,bilabial,e,anterior,mid,stressed,6.2
CA,Colombia,b,voiced,bilabial,e,anterior,mid,unstressed,1.6
CA,Colombia,b,voiced,bilabial,e,anterior,mid,unstressed,10.3
CA,Colombia,b,voiced,bilabial,i,anterior,high,stressed,14.7
CA,Colombia,b,voiced,bilabial,i,anterior,high,stressed,10.9
CA,Colombia,b,voiced,bilabial,i,anterior,high,unstressed,7.1
CA,Colombia,b,voiced,bilabial,i,anterior,high,unstressed,8
CA,Colombia,b,voiced,bilabial,o,posterior,mid,stressed,15.1
CA,Colombia,b,voiced,bilabial,o,posterior,mid,stressed,7.5
CA,Colombia,b,voiced,bilabial,o,posterior,mid,unstressed,11.9
CA,Colombia,b,voiced,bilabial,o,posterior,mid,unstressed,8
CA,Colombia,b,voiced,bilabial,u,posterior,high,stressed,9.9
CA,Colombia,b,voiced,bilabial,u,posterior,high,stressed,7.8
CA,Colombia,b,voiced,bilabial,u,posterior,high,unstressed,8
CA,Colombia,b,voiced,bilabial,u,posterior,high,unstressed,11
CA,Colombia,k,voiceless,velar,a,central,low,stressed,35.5
CA,Colombia,k,voiceless,velar,a,central,low,stressed,28.1
CA,Colombia,k,voiceless,velar,a,central,low,unstressed,26
CA,Colombia,k,voiceless,velar,a,central,low,unstressed,27.2
CA,Colombia,k,voiceless,velar,o,posterior,mid,stressed,31
CA,Colombia,k,voiceless,velar,o,posterior,mid,stressed,32.2
CA,Colombia,k,voiceless,velar,o,posterior,mid,unstressed,28.6
CA,Colombia,k,voiceless,velar,o,posterior,mid,unstressed,28.6
CA,Colombia,k,voiceless,velar,u,posterior,high,stressed,25.5
CA,Colombia,k,voiceless,velar,u,posterior,high,stressed,29.9
CA,Colombia,k,voiceless,velar,u,posterior,high,unstressed,29.6
CA,Colombia,k,voiceless,velar,u,posterior,high,unstressed,26.7
CA,Colombia,d,voiced,dental,a,central,low,stressed,17.4
CA,Colombia,d,voiced,dental,a,central,low,stressed,10.9
CA,Colombia,d,voiced,dental,a,central,low,unstressed,1.2
CA,Colombia,d,voiced,dental,a,central,low,unstressed,11.4
CA,Colombia,d,voiced,dental,e,anterior,mid,stressed,7.3
CA,Colombia,d,voiced,dental,e,anterior,mid,stressed,13
CA,Colombia,d,voiced,dental,e,anterior,mid,unstressed,1.9
CA,Colombia,d,voiced,dental,e,anterior,mid,unstressed,2.3
CA,Colombia,d,voiced,dental,i,anterior,high,stressed,5.3
CA,Colombia,d,voiced,dental,i,anterior,high,stressed,4
CA,Colombia,d,voiced,dental,i,anterior,high,unstressed,0.6
CA,Colombia,d,voiced,dental,i,anterior,high,unstressed,8.7
CA,Colombia,d,voiced,dental,o,posterior,mid,stressed,16.4
CA,Colombia,d,voiced,dental,o,posterior,mid,stressed,8.9
CA,Colombia,d,voiced,dental,o,posterior,mid,unstressed,8.6
CA,Colombia,d,voiced,dental,o,posterior,mid,unstressed,7.4
CA,Colombia,d,voiced,dental,u,posterior,high,stressed,12.8
CA,Colombia,d,voiced,dental,u,posterior,high,stressed,14.3
CA,Colombia,d,voiced,dental,u,posterior,high,unstressed,2.7
CA,Colombia,d,voiced,dental,u,posterior,high,unstressed,8.5
CA,Colombia,g,voiced,velar,a,central,low,stressed,26.4
CA,Colombia,g,voiced,velar,a,central,low,stressed,23.1
CA,Colombia,g,voiced,velar,a,central,low,unstressed,14.9
CA,Colombia,g,voiced,velar,a,central,low,unstressed,16.8
CA,Colombia,g,voiced,velar,o,posterior,mid,stressed,20.4
CA,Colombia,g,voiced,velar,o,posterior,mid,stressed,24.6
CA,Colombia,g,voiced,velar,o,posterior,mid,unstressed,17.3
CA,Colombia,g,voiced,velar,o,posterior,mid,unstressed,21
CA,Colombia,g,voiced,velar,e,anterior,mid,stressed,17.5
CA,Colombia,g,voiced,velar,e,anterior,mid,stressed,18.5
CA,Colombia,g,voiced,velar,e,anterior,mid,unstressed,19.4
CA,Colombia,g,voiced,velar,e,anterior,mid,unstressed,16.6
CA,Colombia,g,voiced,velar,i,anterior,high,stressed,11.7
CA,Colombia,g,voiced,velar,i,anterior,high,stressed,11.5
CA,Colombia,g,voiced,velar,i,anterior,high,unstressed,6.6
CA,Colombia,g,voiced,velar,i,anterior,high,unstressed,5.6
CA,Colombia,g,voiced,velar,u,posterior,high,stressed,15.9
CA,Colombia,g,voiced,velar,u,posterior,high,stressed,10.1
CA,Colombia,g,voiced,velar,u,posterior,high,unstressed,8.9
CA,Colombia,g,voiced,velar,u,posterior,high,unstressed,16.2
CA,Colombia,p,voiceless,bilabial,a,central,low,stressed,35.3
CA,Colombia,p,voiceless,bilabial,a,central,low,stressed,38.1
CA,Colombia,p,voiceless,bilabial,a,central,low,unstressed,32
CA,Colombia,p,voiceless,bilabial,a,central,low,unstressed,29.4
CA,Colombia,p,voiceless,bilabial,e,anterior,mid,stressed,38.7
CA,Colombia,p,voiceless,bilabial,e,anterior,mid,stressed,32.1
CA,Colombia,p,voiceless,bilabial,e,anterior,mid,unstressed,28
CA,Colombia,p,voiceless,bilabial,e,anterior,mid,unstressed,27.7
CA,Colombia,p,voiceless,bilabial,i,anterior,high,stressed,23.8
CA,Colombia,p,voiceless,bilabial,i,anterior,high,stressed,27.1
CA,Colombia,p,voiceless,bilabial,i,anterior,high,unstressed,27.2
CA,Colombia,p,voiceless,bilabial,i,anterior,high,unstressed,23.3
CA,Colombia,p,voiceless,bilabial,o,posterior,mid,stressed,38
CA,Colombia,p,voiceless,bilabial,o,posterior,mid,stressed,31.9
CA,Colombia,p,voiceless,bilabial,o,posterior,mid,unstressed,28.3
CA,Colombia,p,voiceless,bilabial,o,posterior,mid,unstressed,26
CA,Colombia,p,voiceless,bilabial,u,posterior,high,stressed,31.2
CA,Colombia,p,voiceless,bilabial,u,posterior,high,stressed,29
CA,Colombia,p,voiceless,bilabial,u,posterior,high,unstressed,30.7
CA,Colombia,p,voiceless,bilabial,u,posterior,high,unstressed,28.4
CA,Colombia,k,voiceless,velar,e,anterior,mid,stressed,28.8
CA,Colombia,k,voiceless,velar,e,anterior,mid,stressed,31.6
CA,Colombia,k,voiceless,velar,e,anterior,mid,unstressed,28.4
CA,Colombia,k,voiceless,velar,e,anterior,mid,unstressed,26.4
CA,Colombia,k,voiceless,velar,i,anterior,high,stressed,29.7
CA,Colombia,k,voiceless,velar,i,anterior,high,stressed,27.4
CA,Colombia,k,voiceless,velar,i,anterior,high,unstressed,24.6
CA,Colombia,k,voiceless,velar,i,anterior,high,unstressed,21.1
CA,Colombia,t,voiceless,dental,a,central,low,stressed,39.6
CA,Colombia,t,voiceless,dental,a,central,low,stressed,29.3
CA,Colombia,t,voiceless,dental,a,central,low,unstressed,34.6
CA,Colombia,t,voiceless,dental,a,central,low,unstressed,29.8
CA,Colombia,t,voiceless,dental,e,anterior,mid,stressed,32
CA,Colombia,t,voiceless,dental,e,anterior,mid,stressed,30.5
CA,Colombia,t,voiceless,dental,e,anterior,mid,unstressed,30.3
CA,Colombia,t,voiceless,dental,e,anterior,mid,unstressed,27.8
CA,Colombia,t,voiceless,dental,i,anterior,high,stressed,29.9
CA,Colombia,t,voiceless,dental,i,anterior,high,stressed,26.5
CA,Colombia,t,voiceless,dental,i,anterior,high,unstressed,22.4
CA,Colombia,t,voiceless,dental,i,anterior,high,unstressed,26
CA,Colombia,t,voiceless,dental,o,posterior,mid,stressed,31.1
CA,Colombia,t,voiceless,dental,o,posterior,mid,stressed,30.8
CA,Colombia,t,voiceless,dental,o,posterior,mid,unstressed,21.4
CA,Colombia,t,voiceless,dental,o,posterior,mid,unstressed,23.8
CA,Colombia,t,voiceless,dental,u,posterior,high,stressed,25.4
CA,Colombia,t,voiceless,dental,u,posterior,high,stressed,22.7
CA,Colombia,t,voiceless,dental,u,posterior,high,unstressed,22.2
CA,Colombia,t,voiceless,dental,u,posterior,high,unstressed,24
CB,Colombia,b,voiced,bilabial,a,central,low,stressed,19.3
CB,Colombia,b,voiced,bilabial,a,central,low,stressed,15.8
CB,Colombia,b,voiced,bilabial,a,central,low,unstressed,14.3
CB,Colombia,b,voiced,bilabial,a,central,low,unstressed,15.2
CB,Colombia,b,voiced,bilabial,e,anterior,mid,stressed,16.5
CB,Colombia,b,voiced,bilabial,e,anterior,mid,stressed,19.9
CB,Colombia,b,voiced,bilabial,e,anterior,mid,unstressed,14.1
CB,Colombia,b,voiced,bilabial,e,anterior,mid,unstressed,14.6
CB,Colombia,b,voiced,bilabial,i,anterior,high,stressed,20.1
CB,Colombia,b,voiced,bilabial,i,anterior,high,stressed,21.4
CB,Colombia,b,voiced,bilabial,i,anterior,high,unstressed,22.4
CB,Colombia,b,voiced,bilabial,i,anterior,high,unstressed,16.8
CB,Colombia,b,voiced,bilabial,o,posterior,mid,stressed,16.9
CB,Colombia,b,voiced,bilabial,o,posterior,mid,stressed,17.6
CB,Colombia,b,voiced,bilabial,o,posterior,mid,unstressed,12.6
CB,Colombia,b,voiced,bilabial,o,posterior,mid,unstressed,13.2
CB,Colombia,b,voiced,bilabial,u,posterior,high,stressed,9.4
CB,Colombia,b,voiced,bilabial,u,posterior,high,stressed,26.3
CB,Colombia,b,voiced,bilabial,u,posterior,high,unstressed,10.8
CB,Colombia,b,voiced,bilabial,u,posterior,high,unstressed,14.9
CB,Colombia,k,voiceless,velar,a,central,low,stressed,25.8
CB,Colombia,k,voiceless,velar,a,central,low,stressed,24.6
CB,Colombia,k,voiceless,velar,a,central,low,unstressed,19.7
CB,Colombia,k,voiceless,velar,a,central,low,unstressed,25.9
CB,Colombia,k,voiceless,velar,o,posterior,mid,stressed,32
CB,Colombia,k,voiceless,velar,o,posterior,mid,stressed,31
CB,Colombia,k,voiceless,velar,o,posterior,mid,unstressed,27.6
CB,Colombia,k,voiceless,velar,o,posterior,mid,unstressed,27.6
CB,Colombia,k,voiceless,velar,u,posterior,high,stressed,25
CB,Colombia,k,voiceless,velar,u,posterior,high,stressed,26.3
CB,Colombia,k,voiceless,velar,u,posterior,high,unstressed,26.2
CB,Colombia,k,voiceless,velar,u,posterior,high,unstressed,27.5
CB,Colombia,d,voiced,dental,a,central,low,stressed,17
CB,Colombia,d,voiced,dental,a,central,low,stressed,15.2
CB,Colombia,d,voiced,dental,a,central,low,unstressed,15.7
CB,Colombia,d,voiced,dental,a,central,low,unstressed,22.5
CB,Colombia,d,voiced,dental,e,anterior,mid,stressed,23.8
CB,Colombia,d,voiced,dental,e,anterior,mid,stressed,29.3
CB,Colombia,d,voiced,dental,e,anterior,mid,unstressed,31.9
CB,Colombia,d,voiced,dental,e,anterior,mid,unstressed,16.5
CB,Colombia,d,voiced,dental,i,anterior,high,stressed,24.6
CB,Colombia,d,voiced,dental,i,anterior,high,stressed,15.1
CB,Colombia,d,voiced,dental,i,anterior,high,unstressed,15.9
CB,Colombia,d,voiced,dental,i,anterior,high,unstressed,25.6
CB,Colombia,d,voiced,dental,o,posterior,mid,stressed,18.8
CB,Colombia,d,voiced,dental,o,posterior,mid,stressed,17.9
CB,Colombia,d,voiced,dental,o,posterior,mid,unstressed,19.8
CB,Colombia,d,voiced,dental,o,posterior,mid,unstressed,28.6
CB,Colombia,d,voiced,dental,u,posterior,high,stressed,14.4
CB,Colombia,d,voiced,dental,u,posterior,high,stressed,24.4
CB,Colombia,d,voiced,dental,u,posterior,high,unstressed,17
CB,Colombia,d,voiced,dental,u,posterior,high,unstressed,28.2
CB,Colombia,g,voiced,velar,a,central,low,stressed,21.5
CB,Colombia,g,voiced,velar,a,central,low,stressed,21.7
CB,Colombia,g,voiced,velar,a,central,low,unstressed,17.5
CB,Colombia,g,voiced,velar,a,central,low,unstressed,29.2
CB,Colombia,g,voiced,velar,o,posterior,mid,stressed,17.7
CB,Colombia,g,voiced,velar,o,posterior,mid,stressed,20.9
CB,Colombia,g,voiced,velar,o,posterior,mid,unstressed,19.9
CB,Colombia,g,voiced,velar,o,posterior,mid,unstressed,20.9
CB,Colombia,g,voiced,velar,e,anterior,mid,stressed,18.5
CB,Colombia,g,voiced,velar,e,anterior,mid,stressed,19.3
CB,Colombia,g,voiced,velar,e,anterior,mid,unstressed,19.4
CB,Colombia,g,voiced,velar,e,anterior,mid,unstressed,23.9
CB,Colombia,g,voiced,velar,i,anterior,high,stressed,12.4
CB,Colombia,g,voiced,velar,i,anterior,high,stressed,12.7
CB,Colombia,g,voiced,velar,i,anterior,high,unstressed,8
CB,Colombia,g,voiced,velar,i,anterior,high,unstressed,8.6
CB,Colombia,g,voiced,velar,u,posterior,high,stressed,16.5
CB,Colombia,g,voiced,velar,u,posterior,high,stressed,15.7
CB,Colombia,g,voiced,velar,u,posterior,high,unstressed,3.9
CB,Colombia,g,voiced,velar,u,posterior,high,unstressed,13.4
CB,Colombia,p,voiceless,bilabial,a,central,low,stressed,28
CB,Colombia,p,voiceless,bilabial,a,central,low,stressed,22.3
CB,Colombia,p,voiceless,bilabial,a,central,low,unstressed,24.3
CB,Colombia,p,voiceless,bilabial,a,central,low,unstressed,22.4
CB,Colombia,p,voiceless,bilabial,e,anterior,mid,stressed,39.2
CB,Colombia,p,voiceless,bilabial,e,anterior,mid,stressed,28.4
CB,Colombia,p,voiceless,bilabial,e,anterior,mid,unstressed,27.9
CB,Colombia,p,voiceless,bilabial,e,anterior,mid,unstressed,28.4
CB,Colombia,p,voiceless,bilabial,i,anterior,high,stressed,21.2
CB,Colombia,p,voiceless,bilabial,i,anterior,high,stressed,23.9
CB,Colombia,p,voiceless,bilabial,i,anterior,high,unstressed,23.5
CB,Colombia,p,voiceless,bilabial,i,anterior,high,unstressed,18.5
CB,Colombia,p,voiceless,bilabial,o,posterior,mid,stressed,31.8
CB,Colombia,p,voiceless,bilabial,o,posterior,mid,stressed,32.1
CB,Colombia,p,voiceless,bilabial,o,posterior,mid,unstressed,26.3
CB,Colombia,p,voiceless,bilabial,o,posterior,mid,unstressed,27.1
CB,Colombia,p,voiceless,bilabial,u,posterior,high,stressed,30.6
CB,Colombia,p,voiceless,bilabial,u,posterior,high,stressed,29.1
CB,Colombia,p,voiceless,bilabial,u,posterior,high,unstressed,28.6
CB,Colombia,p,voiceless,bilabial,u,posterior,high,unstressed,28.1
CB,Colombia,k,voiceless,velar,e,anterior,mid,stressed,30.1
CB,Colombia,k,voiceless,velar,e,anterior,mid,stressed,26.1
CB,Colombia,k,voiceless,velar,e,anterior,mid,unstressed,26.1
CB,Colombia,k,voiceless,velar,e,anterior,mid,unstressed,25
CB,Colombia,k,voiceless,velar,i,anterior,high,stressed,22.1
CB,Colombia,k,voiceless,velar,i,anterior,high,stressed,22.1
CB,Colombia,k,voiceless,velar,i,anterior,high,unstressed,17.5
CB,Colombia,k,voiceless,velar,i,anterior,high,unstressed,16.5
CB,Colombia,t,voiceless,dental,a,central,low,stressed,31.7
CB,Colombia,t,voiceless,dental,a,central,low,stressed,29.3
CB,Colombia,t,voiceless,dental,a,central,low,unstressed,25.4
CB,Colombia,t,voiceless,dental,a,central,low,unstressed,32.5
CB,Colombia,t,voiceless,dental,e,anterior,mid,stressed,29.4
CB,Colombia,t,voiceless,dental,e,anterior,mid,stressed,24.4
CB,Colombia,t,voiceless,dental,e,anterior,mid,unstressed,32.5
CB,Colombia,t,voiceless,dental,e,anterior,mid,unstressed,30.7
CB,Colombia,t,voiceless,dental,i,anterior,high,stressed,31.2
CB,Colombia,t,voiceless,dental,i,anterior,high,stressed,26.9
CB,Colombia,t,voiceless,dental,i,anterior,high,unstressed,25.2
CB,Colombia,t,voiceless,dental,i,anterior,high,unstressed,29.9
CB,Colombia,t,voiceless,dental,o,posterior,mid,stressed,32.1
CB,Colombia,t,voiceless,dental,o,posterior,mid,stressed,29.3
CB,Colombia,t,voiceless,dental,o,posterior,mid,unstressed,27.1
CB,Colombia,t,voiceless,dental,o,posterior,mid,unstressed,24.8
CB,Colombia,t,voiceless,dental,u,posterior,high,stressed,29.8
CB,Colombia,t,voiceless,dental,u,posterior,high,stressed,31.6
CB,Colombia,t,voiceless,dental,u,posterior,high,unstressed,25
CB,Colombia,t,voiceless,dental,u,posterior,high,unstressed,27.8
CC,Colombia,b,voiced,bilabial,a,central,low,stressed,12.5
CC,Colombia,b,voiced,bilabial,a,central,low,stressed,17.2
CC,Colombia,b,voiced,bilabial,a,central,low,unstressed,11
CC,Colombia,b,voiced,bilabial,a,central,low,unstressed,10.9
CC,Colombia,b,voiced,bilabial,e,anterior,mid,stressed,10
CC,Colombia,b,voiced,bilabial,e,anterior,mid,stressed,12.1
CC,Colombia,b,voiced,bilabial,e,anterior,mid,unstressed,9.4
CC,Colombia,b,voiced,bilabial,e,anterior,mid,unstressed,7.6
CC,Colombia,b,voiced,bilabial,i,anterior,high,stressed,12.4
CC,Colombia,b,voiced,bilabial,i,anterior,high,stressed,16.8
CC,Colombia,b,voiced,bilabial,i,anterior,high,unstressed,12.6
CC,Colombia,b,voiced,bilabial,i,anterior,high,unstressed,7
CC,Colombia,b,voiced,bilabial,o,posterior,mid,stressed,13.8
CC,Colombia,b,voiced,bilabial,o,posterior,mid,stressed,9.4
CC,Colombia,b,voiced,bilabial,o,posterior,mid,unstressed,6.8
CC,Colombia,b,voiced,bilabial,o,posterior,mid,unstressed,6
CC,Colombia,b,voiced,bilabial,u,posterior,high,stressed,10.4
CC,Colombia,b,voiced,bilabial,u,posterior,high,stressed,8.5
CC,Colombia,b,voiced,bilabial,u,posterior,high,unstressed,2.8
CC,Colombia,b,voiced,bilabial,u,posterior,high,unstressed,9.2
CC,Colombia,k,voiceless,velar,a,central,low,stressed,25.4
CC,Colombia,k,voiceless,velar,a,central,low,stressed,27.8
CC,Colombia,k,voiceless,velar,a,central,low,unstressed,17.1
CC,Colombia,k,voiceless,velar,a,central,low,unstressed,21.3
CC,Colombia,k,voiceless,velar,o,posterior,mid,stressed,33.5
CC,Colombia,k,voiceless,velar,o,posterior,mid,stressed,29.7
CC,Colombia,k,voiceless,velar,o,posterior,mid,unstressed,24.7
CC,Colombia,k,voiceless,velar,o,posterior,mid,unstressed,25.4
CC,Colombia,k,voiceless,velar,u,posterior,high,stressed,28.9
CC,Colombia,k,voiceless,velar,u,posterior,high,stressed,29.5
CC,Colombia,k,voiceless,velar,u,posterior,high,unstressed,24.1
CC,Colombia,k,voiceless,velar,u,posterior,high,unstressed,25.7
CC,Colombia,d,voiced,dental,a,central,low,stressed,13
CC,Colombia,d,voiced,dental,a,central,low,stressed,13
CC,Colombia,d,voiced,dental,a,central,low,unstressed,11.2
CC,Colombia,d,voiced,dental,a,central,low,unstressed,12.4
CC,Colombia,d,voiced,dental,e,anterior,mid,stressed,11.7
CC,Colombia,d,voiced,dental,e,anterior,mid,stressed,14.5
CC,Colombia,d,voiced,dental,e,anterior,mid,unstressed,6.6
CC,Colombia,d,voiced,dental,e,anterior,mid,unstressed,7.6
CC,Colombia,d,voiced,dental,i,anterior,high,stressed,9.9
CC,Colombia,d,voiced,dental,i,anterior,high,stressed,9.9
CC,Colombia,d,voiced,dental,i,anterior,high,unstressed,9.1
CC,Colombia,d,voiced,dental,i,anterior,high,unstressed,13.9
CC,Colombia,d,voiced,dental,o,posterior,mid,stressed,15.9
CC,Colombia,d,voiced,dental,o,posterior,mid,stressed,17.6
CC,Colombia,d,voiced,dental,o,posterior,mid,unstressed,8.8
CC,Colombia,d,voiced,dental,o,posterior,mid,unstressed,13.7
CC,Colombia,d,voiced,dental,u,posterior,high,stressed,13.3
CC,Colombia,d,voiced,dental,u,posterior,high,stressed,20.5
CC,Colombia,d,voiced,dental,u,posterior,high,unstressed,15
CC,Colombia,d,voiced,dental,u,posterior,high,unstressed,20.5
CC,Colombia,g,voiced,velar,a,central,low,stressed,12.9
CC,Colombia,g,voiced,velar,a,central,low,stressed,16.3
CC,Colombia,g,voiced,velar,a,central,low,unstressed,11.1
CC,Colombia,g,voiced,velar,a,central,low,unstressed,16.1
CC,Colombia,g,voiced,velar,o,posterior,mid,stressed,14.3
CC,Colombia,g,voiced,velar,o,posterior,mid,stressed,17
CC,Colombia,g,voiced,velar,o,posterior,mid,unstressed,6.2
CC,Colombia,g,voiced,velar,o,posterior,mid,unstressed,10.9
CC,Colombia,g,voiced,velar,e,anterior,mid,stressed,10.2
